Property Type,Area,Region,Complex Name,Year,Home Type,Price
2-комнатная квартира,52.29 м²,"Астана, Есильский р-н",Jetisu.Kerbez,2024,монолитный,21595770
2-комнатная квартира,59.9 м²,"Астана, Есильский р-н",Dara Residence,2024,монолитный,53311000
2-комнатная квартира,76.67 м²,"Астана, Есильский р-н",Zangar,2024,монолитный,41401800
2-комнатная квартира,71.5 м²,"Астана, Есильский р-н",Aiva,2024,монолитный,30745000
2-комнатная квартира,57.82 м²,"Астана, Есильский р-н",Tumar Residence,2024,монолитный,27189855
2-комнатная квартира,59.6 м²,"Астана, Есильский р-н",GreenLine.Tokyo,2024,монолитный,35342800
2-комнатная квартира,65.87 м²,"Астана, Есильский р-н",Capital Park. Flowers,2024,монолитный,34252400
2-комнатная квартира,52.1 м²,"Астана, Есильский р-н",Aiva,2024,монолитный,20840000
2-комнатная квартира,61.8 м²,"Астана, Есильский р-н",AIQYN,2024,монолитный,32754000
2-комнатная квартира,54.86 м²,"Астана, Есильский р-н",Prime,2024,монолитный,30227860
2-комнатная квартира,50.1 м²,"Астана, Есильский р-н",Aiva,2024,монолитный,20040000
2-комнатная квартира,49.8 м²,"Астана, Есильский р-н",Aiva,2024,монолитный,19920000
2-комнатная квартира,73.48 м²,"Астана, Есильский р-н",Поколение,2024,монолитный,42471440
2-комнатная квартира,49.41 м²,"Астана, Есильский р-н",GreenLine.Tokyo,2024,монолитный,29744820
2-комнатная квартира,66.57 м²,"Астана, Есильский р-н",MoD.Comfort,2024,монолитный,32852295
2-комнатная квартира,50.75 м²,"Астана, Есильский р-н",Jetisu.Kerbez,2024,монолитный,18980500
2-комнатная квартира,66.06 м²,"Астана, Есильский р-н",Dastur,2024,монолитный,26339050
2-комнатная квартира,52.76 м²,"Астана, Есильский р-н",Nexpo Union,2024,монолитный,33133280
2-комнатная квартира,68.83 м²,"Астана, Есильский р-н",Capital Park. Light,2024,монолитный,40747360
2-комнатная квартира,56.86 м²,"Астана, Есильский р-н",MoD.Comfort,2024,монолитный,23767480
2-комнатная квартира,71.83 м²,"Астана, Есильский р-н",Arai Towers,2024,монолитный,30168600
2-комнатная квартира,66.15 м²,"Астана, Есильский р-н",Arai Towers,2024,монолитный,30429000
2-комнатная квартира,67.75 м²,"Астана, Есильский р-н",AIQYN,2024,монолитный,35907500
2-комнатная квартира,53.67 м²,"Астана, Есильский р-н",MoD.Comfort,2024,монолитный,22434060
2-комнатная квартира,44.95 м²,"Астана, Есильский р-н",Jetisu.Kerbez,2024,монолитный,18654250
2-комнатная квартира,62.41 м²,"Астана, Есильский р-н",GreenLine.Tokyo,2024,монолитный,41565060
2-комнатная квартира,78.9 м²,"Астана, Есильский р-н",Dara Residence,2024,монолитный,71799000
2-комнатная квартира,65.15 м²,"Астана, Есильский р-н",Capital Park. Flowers,2024,монолитный,33617400
2-комнатная квартира,53 м²,"Астана, Есильский р-н",Aiva,2024,монолитный,20670000
2-комнатная квартира,50.4 м²,"Астана, Есильский р-н",Aiva,2024,монолитный,19656000
2-комнатная квартира,52.94 м²,"Астана, Есильский р-н",Tumar Residence,2024,монолитный,22380385
2-комнатная квартира,53.58 м²,"Астана, Есильский р-н",GreenLine.Tokyo,2024,монолитный,32255160
2-комнатная квартира,48.82 м²,"Астана, Есильский р-н",Поколение,2024,монолитный,32416480
2-комнатная квартира,71.25 м²,"Астана, Есильский р-н",Talmas,2024,монолитный,36693750
2-комнатная квартира,71.8 м²,"Астана, Есильский р-н",Capital Park. Light,2024,монолитный,41428600
2-комнатная квартира,61.74 м²,"Астана, Есильский р-н",Talmas,2024,монолитный,31796100
3-комнатная квартира,72.71 м²,"Астана, Есильский р-н",MoD.Comfort,2024,монолитный,34828090
